drive	layout_category	hf_repo	revision	size_gib	path
d1	raw	MiniMaxAI/MiniMax-M2.5	f710177d938eff80b684d42c5aa84b382612f21f	63.834	/mnt/models/d1/raw/MiniMaxAI/MiniMax-M2.5/f710177d938eff80b684d42c5aa84b382612f21f
d1	raw	Qwen/Qwen1.5-110B	16659038ecdcc771c1293cf47020fa7cc2750ee8	178.717	/mnt/models/d1/raw/Qwen/Qwen1.5-110B/16659038ecdcc771c1293cf47020fa7cc2750ee8
d1	raw	Qwen/Qwen2.5-14B	97e1e76335b7017d8f67c08a19d103c0504298c9	27.522	/mnt/models/d1/raw/Qwen/Qwen2.5-14B/97e1e76335b7017d8f67c08a19d103c0504298c9
d1	raw	Qwen/Qwen2.5-14B	latest	27.522	/mnt/models/d1/raw/Qwen/Qwen2.5-14B/latest
d1	raw	Qwen/Qwen2.5-3B	3aab1f1954e9cc14eb9509a215f9e5ca08227a9b	5.759	/mnt/models/d1/raw/Qwen/Qwen2.5-3B/3aab1f1954e9cc14eb9509a215f9e5ca08227a9b
d1	raw	Qwen/Qwen2.5-3B	latest	5.759	/mnt/models/d1/raw/Qwen/Qwen2.5-3B/latest
d1	raw	Qwen/Qwen2.5-7B	d149729398750b98c0af14eb82c78cfe92750796	14.196	/mnt/models/d1/raw/Qwen/Qwen2.5-7B/d149729398750b98c0af14eb82c78cfe92750796
d1	raw	Qwen/Qwen2.5-7B	latest	14.196	/mnt/models/d1/raw/Qwen/Qwen2.5-7B/latest
d1	raw	Qwen/Qwen3-32B	9216db5781bf21249d130ec9da846c4624c16137	61.039	/mnt/models/d1/raw/Qwen/Qwen3-32B/9216db5781bf21249d130ec9da846c4624c16137
d1	raw	Qwen/Qwen3-32B	latest	61.039	/mnt/models/d1/raw/Qwen/Qwen3-32B/latest
d1	raw	Qwen/Qwen3.5-122B-A10B	b000b2eb18a7f4cdf3153c4215842da339e09d99	60.010	/mnt/models/d1/raw/Qwen/Qwen3.5-122B-A10B/b000b2eb18a7f4cdf3153c4215842da339e09d99
d1	raw	Qwen/Qwen3.5-397B-A17B	60c2d3eea32fe55c5e631fa39a1dc0550754b6db	0.003	/mnt/models/d1/raw/Qwen/Qwen3.5-397B-A17B/60c2d3eea32fe55c5e631fa39a1dc0550754b6db
d1	raw	bigcode/starcoder2-3b	733247c55e3f73af49ce8e9c7949bf14af205928	11.292	/mnt/models/d1/raw/bigcode/starcoder2-3b/733247c55e3f73af49ce8e9c7949bf14af205928
d1	raw	bigcode/starcoder2-3b	latest	11.292	/mnt/models/d1/raw/bigcode/starcoder2-3b/latest
d1	raw	bigcode/starcoder2-7b	bb9afde76d7945da5745592525db122d4d729eb1	13.366	/mnt/models/d1/raw/bigcode/starcoder2-7b/bb9afde76d7945da5745592525db122d4d729eb1
d1	raw	bigcode/starcoder2-7b	latest	13.366	/mnt/models/d1/raw/bigcode/starcoder2-7b/latest
d1	raw	codellama/CodeLlama-13b-Instruct-hf	745795438019e47e4dad1347a0093e11deee4c68	48.796	/mnt/models/d1/raw/codellama/CodeLlama-13b-Instruct-hf/745795438019e47e4dad1347a0093e11deee4c68
